Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2020-08-12,960.2803955078125,968.1338417220617,950.8924453804724,957.3015226996713,30264617
2020-08-13,957.775390625,965.3805171577782,952.3366680076899,960.4608766898883,24830322
2020-08-14,954.0519409179688,973.5499968825059,942.9714216597392,958.0011681580643,33224635
2020-08-17,943.919189453125,950.0800072856482,934.3281075225127,950.0800072856482,30979066
2020-08-18,956.19580078125,963.3044692046789,939.8571273001791,941.0531772225081,30547672
2020-08-19,962.0631713867188,972.1958989128857,957.4594807962734,966.3284079855683,34087543
2020-08-20,946.49169921875,958.610320912572,942.4070314591485,956.8500618475134,22537845
2020-08-21,939.6314086914062,957.7529046597705,937.4423813079499,955.9475181738237,25280895
2020-08-24,945.9051513671875,949.8543785402047,934.5086821849079,943.9418195814,32717218
2020-08-25,939.7442016601562,952.9234928104662,937.8936880228628,950.5313333957848,19388008
2020-08-26,964.658447265625,969.4652701628314,923.9020783795879,941.0531605726751,59870421
2020-08-27,952.6075439453125,970.3905257659359,949.2901575537568,969.4878026998181,28085062
2020-08-28,955.1124877929688,962.6724872841761,950.64417889511,956.8501236807623,27166900
2020-08-31,939.1123046875,981.2227244337602,929.9274278526689,981.2227244337602,62076132
2020-09-01,942.0686645507812,957.9333821236513,930.8527051045198,947.8232778251647,38616258
2020-09-02,960.5512084960938,964.9743904615849,941.0531538410881,944.2125354209737,26949439
2020-09-03,953.2844848632812,965.3127925841867,949.1772534689192,960.4608430815497,18586429
2020-09-04,937.55517578125,946.4466666938623,935.2758940537118,940.3986668867657,28475945
2020-09-07,939.9924926757812,950.4185474757394,922.6608419794579,940.6018292728933,21926473
2020-09-08,951.02783203125,957.3014676946553,939.0220273942846,944.2124909097532,27397082
2020-09-09,975.5132446289062,978.4244265500107,939.4508218895586,941.053135941398,55310877
2020-09-10,1044.410888671875,1058.3800235694275,981.83194598064,985.3299004503288,140304404
2020-09-11,1047.0062255859375,1055.175562246342,1032.269926063605,1043.5083899488072,59470807
2020-09-14,1039.2430419921875,1065.1727948098135,1029.967851123539,1049.3757689779331,44063445
2020-09-15,1046.6002197265625,1049.7144745661237,1032.7438987899045,1043.4859648870015,27178393
2020-09-16,1049.1727294921875,1069.392939817957,1042.8539659959436,1047.1190836022542,33952295
2020-09-17,1037.5279541015625,1053.302416097168,1034.4135806713612,1047.1189158166728,25828669
2020-09-18,1040.6649169921875,1046.8708623526327,1027.5081886685462,1044.5238896915514,33074915
2020-09-21,1018.1653442382812,1054.340524274349,1014.3288160609994,1038.092106363457,33627381
2020-09-22,997.9901733398438,1027.7111483287306,993.6572461097632,1027.7111483287306,34792254
2020-09-23,1006.8590698242188,1027.5983602691515,995.3498434566727,1020.0383606869218,42988708
2020-09-24,984.4724731445312,1004.6926220511629,982.1480045429355,996.5233454684201,29826318
2020-09-25,993.7250366210938,998.7349916951074,978.1988318727759,987.9929866283342,28374935
2020-09-28,1000.2921142578125,1010.1088922605071,996.1397551110359,1005.1440644113056,19666849
2020-09-29,1013.2907104492188,1021.8436272783866,1000.2919888371054,1004.2412750821471,25842539
2020-09-30,1008.46142578125,1023.1977241154949,1004.2413164953268,1020.0383427428203,24465159
2020-10-01,1004.3541259765625,1021.7534063617467,999.276480594019,1021.7534063617467,20783227
2020-10-05,998.464111328125,1015.1412378353376,995.665807141331,1012.8168289308439,18922799
2020-10-06,997.629150390625,1008.2582772733267,993.7024274130506,1004.3541775876134,18412175
2020-10-07,1018.9100341796875,1042.154241671535,1001.9845893759028,1008.7547434205927,53170865
2020-10-08,1010.6729736328125,1023.6491928550894,1002.9324648078214,1019.5870284539118,21077808
2020-10-09,1008.0552368164062,1016.8790372265936,1000.6757456073183,1008.7548278164428,18545499
2020-10-12,1009.6800537109375,1018.1201535189876,1004.8055997006869,1008.7548267067875,14226473
2020-10-13,1029.38134765625,1031.6606295627953,1004.6250177214829,1006.7689180188713,23112012
2020-10-14,1032.450439453125,1039.8976215416956,1023.8748385588287,1028.5689032035948,26742011
2020-10-15,995.8914794921875,1033.5787209899615,990.7010157207518,1033.5787209899615,20036197
2020-10-16,982.0352172851562,1007.6263990747995,980.6134716986062,999.7279451318866,21583600
2020-10-19,982.2157592773438,1005.9113606750328,972.7149909324551,988.466891534098,31200385
2020-10-20,973.0533447265625,989.7982200988376,971.4059036601203,983.4793980773743,18482288
2020-10-21,958.9263916015625,989.3470196032074,946.8077683832299,978.5147603722606,34082321
2020-10-22,950.9600830078125,962.4919326942683,943.761160688031,960.1900874152456,30802210
2020-10-23,953.71337890625,963.6203515996452,946.198506037611,950.5313739814042,23422125
2020-10-26,915.822998046875,948.7034169019341,911.0387387404159,948.7034169019341,37324416
2020-10-27,918.2603149414062,929.7018515417203,904.9456412841947,918.4408237514781,36478896
2020-10-28,907.8568115234375,928.7314851710537,906.0288613850042,921.555066223106,29924017
2020-10-29,914.8300170898438,921.645358569465,898.6267852210569,901.3348351173212,30655304
